movie	42	2013
actress	Butler, Kathleen	A League of Their Own	1992	Older Kit
actress	Carr, K.C.	A League of Their Own	1992	Additional Player
actress	Cartwright, Lynn	A League of Their Own	1992	Older Dottie
actress	Cavanagh, Megan	A League of Their Own	1992	Marla Hooch - 2nd Base
actress	Coleman, Renée	A League of Their Own	1992	Alice Gaspers - Left Field/Center Field
actress	Collins, Larissa	A League of Their Own	1992	Charm School Assistant
actress	Cronin, Laurel	A League of Their Own	1992	Maida Gillespie
actress	Croteau, Julie	A League of Their Own	1992	Additional Player
actress	Cusack, Ann	A League of Their Own	1992	Shirley Baker - Left Field
actress	Davis, Geena	A League of Their Own	1992	Dottie Hinson
actor	Krowka, Joe	A League of Their Own	1992	Heckler
actor	Lovitz, Jon	A League of Their Own	1992	Ernie Capadino
actor	Mailer, Stephen	A League of Their Own	1992	Kit's Guy in Bar
actor	Marshall, Garry	A League of Their Own	1992	Walter Harvey
actor	Mekka, Eddie	A League of Their Own	1992	Mae's Guy in Bar
actor	Olsen, Ryan	A League of Their Own	1992	Dollbody Kid
actor	Pullman, Bill	A League of Their Own	1992	Bob Hinson
actor	Tarleton, Neezer	A League of Their Own	1992	Neezer Dalton - Outfield
actor	Wilder, Alan	A League of Their Own	1992	Nelson
actor	Sandel Jr., Wantland L.	A League of Their Own	1992	Doctor
actor	Scheller, Justin	A League of Their Own	1992	Stilwell Gardner
actor	Shearer, Harry	A League of Their Own	1992	Newsreel Announcer
actor	Slotnick, Joey	A League of Their Own	1992	Doris' Fan #2
actor	Sporleder, Gregory	A League of Their Own	1992	Mitch Swaley
actor	Stanton, Robert	A League of Their Own	1992	Western Union Man
actor	Strathairn, David	A League of Their Own	1992	Ira Lowenstein
actor	Einhorn, Marvin	A League of Their Own	1992	Older Ira
actor	Feagley, Stephen	A League of Their Own	1992	Autograph Kid #2
actor	Flannery, Brian	A League of Their Own	1992	Autograph Kid #1
actor	Franks, David	A League of Their Own	1992	Vacuum Salesman
actor	Gleeson, Brian Boru	A League of Their Own	1992	Bobby
actor	Haley, Michael	A League of Their Own	1992	Empathetic Umpire
actor	Hanks, Tom	A League of Their Own	1992	Jimmy Dugan
actor	Blakeslee, Douglas	A League of Their Own	1992	Doris' Fan #1
actor	Holton, Mark	A League of Their Own	1992	Older Stilwell
actor	Howell, Ryan	A League of Their Own	1992	Jeffrey
actor	Chapman, Raymond L.	A League of Their Own	1992	Ticket Scalper
actor	Jones, Eddie	A League of Their Own	1992	Dave Hooch
actor	Davis, Don S.	A League of Their Own	1992	Charlie Collins, Racine Coach
movie	A Million Ways to Die in the West	2014
director	MacFarlane, Seth	A Million Ways to Die in the West	2014
actress	Peterson, Tessa	A Million Ways to Die in the West	2014	Barn Dancer
actress	Rachel, Allyn	A Million Ways to Die in the West	2014	Wild Girl
actress	Medina, Kristy	A Million Ways to Die in the West	2014	Barn Dancer
actress	Talley, Maura	A Million Ways to Die in the West	2014	Barn Dancer
actress	Theron, Charlize	A Million Ways to Die in the West	2014	Anna
actress	White, Kimberly	A Million Ways to Die in the West	2014	Barn Dancer
actress	Ritter, Tracy	A Million Ways to Die in the West	2014	Barn Dancer
actress	Ruggiero, Kelly	A Million Ways to Die in the West	2014	Barn Dancer
actress	Seyfried, Amanda	A Million Ways to Die in the West	2014	Louise
actress	Shouse, Belle	A Million Ways to Die in the West	2014	12 Year Old Girl
actress	Shu, Catherine	A Million Ways to Die in the West	2014	Chinese Girl
actress	Silverman, Sarah	A Million Ways to Die in the West	2014	Ruth
actress	Dyke, Stephanie	A Million Ways to Die in the West	2014	Barn Dancer
actress	Effron, Jean	A Million Ways to Die in the West	2014	Elsie Stark
actress	Fine, Emily	A Million Ways to Die in the West	2014	Barn Dancer
actress	Armgardt, Kayla	A Million Ways to Die in the West	2014	Barn Dancer
actress	Baker-Dillingham, Susan	A Million Ways to Die in the West	2014	Barn Dancer
actress	Borstein, Alex	A Million Ways to Die in the West	2014	Millie
actress	Carrasco, Ashlee	A Million Ways to Die in the West	2014	Barn Dancer
actress	Carter, Claire Mackenzie	A Million Ways to Die in the West	2014	Other Fair Girl
actress	Cash, Lydia	A Million Ways to Die in the West	2014	Barn Dancer
actress	Cates, Challen	A Million Ways to Die in the West	2014	Female Passenger
actor	Kuhl, Keith	A Million Ways to Die in the West	2014	Barn Dancer
actor	Lawson, Marty	A Million Ways to Die in the West	2014	Barn Dancer
actor	Linn, Rex	A Million Ways to Die in the West	2014	Sheriff/Narrator
actor	Lloyd, Christopher	A Million Ways to Die in the West	2014	Doc Brown
actor	MacFarlane, Seth	A Million Ways to Die in the West	2014	Albert
actor	Maes, Jacob	A Million Ways to Die in the West	2014	Barn Dancer
actor	McGregor, Ewan	A Million Ways to Die in the West	2014	Cowboy at Fair
actor	McPherson, Aaron	A Million Ways to Die in the West	2014	Ben
actor	Means, Tatanka	A Million Ways to Die in the West	2014	Other Apache
actor	Miller, Mike	A Million Ways to Die in the West	2014	Vendor
